material_description,material_price,vendor,location,dow,zip,region,date,raw_material,steel_price,copper_price,target_price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,409.0,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Monday,30339,southeast,2022-11-07,copper,1600.95,7953.85,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,511.7,amazon,"410 Terry Ave N. Seattle, WA, 98109",Monday,98109,west,2022-11-07,copper,1600.95,7953.85,high price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,344.99,southwestlumber,"1917 S Avenue B. Yuma, AZ, 85364",Monday,85364,mountains,2022-11-07,copper,1600.95,7953.85,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,445.81,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",Monday,95125,west,2022-11-07,copper,1600.95,7953.85,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,506.37,dkhardware,"1835 E Hallandale Bch 264 Hallandale. Beach, FL, 33009",Monday,33009,southeast,2022-11-07,copper,1600.95,7953.85,high price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,409.0,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Tuesday,30339,southeast,2022-11-08,copper,1624.27,7973.0,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,511.7,amazon,"410 Terry Ave N. Seattle, WA, 98109",Tuesday,98109,west,2022-11-08,copper,1624.27,7973.0,high price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,354.99,southwestlumber,"1917 S Avenue B. Yuma, AZ, 85364",Tuesday,85364,mountains,2022-11-08,copper,1624.27,7973.0,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,445.81,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",Tuesday,95125,west,2022-11-08,copper,1624.27,7973.0,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,506.37,dkhardware,"1835 E Hallandale Bch 264 Hallandale. Beach, FL, 33009",Tuesday,33009,southeast,2022-11-08,copper,1624.27,7973.0,high price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,409.0,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Wednesday,30339,southeast,2022-11-09,copper,1583.59,8033.85,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,511.7,amazon,"410 Terry Ave N. Seattle, WA, 98109",Wednesday,98109,west,2022-11-09,copper,1583.59,8033.85,high price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,354.99,southwestlumber,"1917 S Avenue B. Yuma, AZ, 85364",Wednesday,85364,mountains,2022-11-09,copper,1583.59,8033.85,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,445.81,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",Wednesday,95125,west,2022-11-09,copper,1583.59,8033.85,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,506.37,dkhardware,"1835 E Hallandale Bch 264 Hallandale. Beach, FL, 33009",Wednesday,33009,southeast,2022-11-09,copper,1583.59,8033.85,high price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,392.7,amazon,"410 Terry Ave N. Seattle, WA, 98109",Thursday,98109,west,2022-11-10,copper,1630.76,8062.5,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,445.81,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",Thursday,95125,west,2022-11-10,copper,1630.76,8062.5,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,409.0,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Friday,30339,southeast,2022-11-11,copper,1700.39,8440.5,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,456.49,amazon,"410 Terry Ave N. Seattle, WA, 98109",Friday,98109,west,2022-11-11,copper,1700.39,8440.5,high price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,354.99,southwestlumber,"1917 S Avenue B. Yuma, AZ, 85364",Friday,85364,mountains,2022-11-11,copper,1700.39,8440.5,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,445.81,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",Friday,95125,west,2022-11-11,copper,1700.39,8440.5,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,409.0,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Saturday,30339,southeast,2022-11-12,copper,1700.39,8440.5,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,456.49,amazon,"410 Terry Ave N. Seattle, WA, 98109",Saturday,98109,west,2022-11-12,copper,1700.39,8440.5,high price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,354.99,southwestlumber,"1917 S Avenue B. Yuma, AZ, 85364",Saturday,85364,mountains,2022-11-12,copper,1700.39,8440.5,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,445.81,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",Saturday,95125,west,2022-11-12,copper,1700.39,8440.5,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,409.0,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Sunday,30339,southeast,2022-11-13,copper,1700.39,8440.5,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,423.0,amazon,"410 Terry Ave N. Seattle, WA, 98109",Sunday,98109,west,2022-11-13,copper,1700.39,8440.5,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,354.99,southwestlumber,"1917 S Avenue B. Yuma, AZ, 85364",Sunday,85364,mountains,2022-11-13,copper,1700.39,8440.5,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,445.81,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",Sunday,95125,west,2022-11-13,copper,1700.39,8440.5,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,409.0,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Monday,30339,southeast,2022-11-14,copper,1716.12,8345.5,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,423.0,amazon,"410 Terry Ave N. Seattle, WA, 98109",Monday,98109,west,2022-11-14,copper,1716.12,8345.5,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,354.99,southwestlumber,"1917 S Avenue B. Yuma, AZ, 85364",Monday,85364,mountains,2022-11-14,copper,1716.12,8345.5,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,445.81,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",Monday,95125,west,2022-11-14,copper,1716.12,8345.5,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,449.0,menards,"4777 Menard Drive. Eau Claire, Wisconsin, 54703",Monday,54703,northplaines,2022-11-14,copper,1716.12,8345.5,high price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,409.0,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Tuesday,30339,southeast,2022-11-15,copper,1729.77,8345.5,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,423.0,amazon,"410 Terry Ave N. Seattle, WA, 98109",Tuesday,98109,west,2022-11-15,copper,1729.77,8345.5,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,354.99,southwestlumber,"1917 S Avenue B. Yuma, AZ, 85364",Tuesday,85364,mountains,2022-11-15,copper,1729.77,8345.5,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,445.81,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",Tuesday,95125,west,2022-11-15,copper,1729.77,8345.5,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,449.0,menards,"4777 Menard Drive. Eau Claire, Wisconsin, 54703",Tuesday,54703,northplaines,2022-11-15,copper,1729.77,8345.5,high price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,395.0,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Wednesday,30339,southeast,2022-11-16,copper,1699.31,8342.85,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,423.0,amazon,"410 Terry Ave N. Seattle, WA, 98109",Wednesday,98109,west,2022-11-16,copper,1699.31,8342.85,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,445.81,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",Wednesday,95125,west,2022-11-16,copper,1699.31,8342.85,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,449.0,menards,"4777 Menard Drive. Eau Claire, Wisconsin, 54703",Wednesday,54703,northplaines,2022-11-16,copper,1699.31,8342.85,high price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,395.0,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Thursday,30339,southeast,2022-11-17,copper,1698.71,8314.5,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,423.0,amazon,"410 Terry Ave N. Seattle, WA, 98109",Thursday,98109,west,2022-11-17,copper,1698.71,8314.5,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,354.99,southwestlumber,"1917 S Avenue B. Yuma, AZ, 85364",Thursday,85364,mountains,2022-11-17,copper,1698.71,8314.5,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,445.81,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",Thursday,95125,west,2022-11-17,copper,1698.71,8314.5,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,449.0,menards,"4777 Menard Drive. Eau Claire, Wisconsin, 54703",Thursday,54703,northplaines,2022-11-17,copper,1698.71,8314.5,high price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,395.0,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Friday,30339,southeast,2022-11-18,copper,1672.19,8310.86,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,423.0,amazon,"410 Terry Ave N. Seattle, WA, 98109",Friday,98109,west,2022-11-18,copper,1672.19,8310.86,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,354.99,southwestlumber,"1917 S Avenue B. Yuma, AZ, 85364",Friday,85364,mountains,2022-11-18,copper,1672.19,8310.86,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,445.81,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",Friday,95125,west,2022-11-18,copper,1672.19,8310.86,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,449.0,menards,"4777 Menard Drive. Eau Claire, Wisconsin, 54703",Friday,54703,northplaines,2022-11-18,copper,1672.19,8310.86,high price
